"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/14/2023","AQS","060290007","1","0.065","ppm","84","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/15/2023","AQS","060290007","1","0.065","ppm","84","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/16/2023","AQS","060290007","1","0.075","ppm","115","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/17/2023","AQS","060290007","1","0.074","ppm","112","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/18/2023","AQS","060290007","1","0.064","ppm","80","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/19/2023","AQS","060290007","1","0.066","ppm","87","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/20/2023","AQS","060290007","1","0.061","ppm","71","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/21/2023","AQS","060290007","1","0.061","ppm","71","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/22/2023","AQS","060290007","1","0.069","ppm","97","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/23/2023","AQS","060290007","1","0.057","ppm","58","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/24/2023","AQS","060290007","1","0.049","ppm","45","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/25/2023","AQS","060290007","1","0.053","ppm","49","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/26/2023","AQS","060290007","1","0.056","ppm","54","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/27/2023","AQS","060290007","1","0.059","ppm","64","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/28/2023","AQS","060290007","1","0.059","ppm","64","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/29/2023","AQS","060290007","1","0.041","ppm","38","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/30/2023","AQS","060290007","1","0.041","ppm","38","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"05/31/2023","AQS","060290007","1","0.051","ppm","47","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"06/01/2023","AQS","060290007","1","0.056","ppm","54","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
